user_query,intent,role,requires_login
Pwede ko bang makita ang progress ko?,progress,student_parent,yes
Kumusta ang progress ko sa tutorial?,progress,student_parent,yes
Can you help me with this: how am i progressing?,progress,student_parent,yes
Quick question: can i see my learning progress?,progress,student_parent,yes
"Just checking, nasaan ang progress ko?",progress,student_parent,yes
Please tell me how is my academic progress??,progress,student_parent,yes
Can you tell me pwede ko bang makita ang progress ko??,progress,student_parent,yes
"Paki-explain, kumusta ang progress ko sa tutorial??",progress,student_parent,yes
Gusto kong malaman: how am i progressing?,progress,student_parent,yes
"Pwede bang sabihin, can i see my learning progress??",progress,student_parent,yes
"Hi, nasaan ang progress ko??",progress,student_parent,yes
"Hello, pwede ko bang makita ang progress ko??",progress,student_parent,yes
"Pwede po bang malaman, how am i progressing?",progress,student_parent,yes
Can I see the actual marks I received?,progress,student_parent,yes
Can I check my child's progress?,parent_progress,student_parent,yes
How is my child progressing?,parent_progress,student_parent,yes
Pwede ko bang makita ang progress ng anak ko?,parent_progress,student_parent,yes
Kumusta ang progress ng anak ko?,parent_progress,student_parent,yes
Can I view my child's learning progress?,parent_progress,student_parent,yes
May update ba sa progress ng anak ko?,parent_progress,student_parent,yes
Can you help me with this: can i check my child's progress?,parent_progress,student_parent,yes
Quick question: how is my child progressing?,parent_progress,student_parent,yes
"Just checking, pwede ko bang makita ang progress ng anak ko?",parent_progress,student_parent,yes
Please tell me kumusta ang progress ng anak ko??,parent_progress,student_parent,yes
Can you tell me can i view my child's learning progress??,parent_progress,student_parent,yes
"Paki-explain, may update ba sa progress ng anak ko??",parent_progress,student_parent,yes
Gusto kong malaman: can i check my child's progress?,parent_progress,student_parent,yes
"Pwede bang sabihin, how is my child progressing??",parent_progress,student_parent,yes
"Hi, pwede ko bang makita ang progress ng anak ko??",parent_progress,student_parent,yes
"Hello, can i view my child's learning progress??",parent_progress,student_parent,yes
"Pwede po bang malaman, can i check my child's progress?",parent_progress,student_parent,yes
"Pa-help naman, how is my child progressing?",parent_progress,student_parent,yes
What is my schedule?,schedule,student_parent,yes
Can I see my class schedule?,schedule,student_parent,yes
Nasaan ang schedule ko?,schedule,student_parent,yes
What time is my next class?,schedule,student_parent,yes
Pwede ko bang makita ang class schedule ko?,schedule,student_parent,yes
Kailan ang session ko?,schedule,student_parent,yes
Can you help me with this: what is my schedule?,schedule,student_parent,yes
Quick question: can i see my class schedule?,schedule,student_parent,yes
"Just checking, nasaan ang schedule ko?",schedule,student_parent,yes
Please tell me what time is my next class??,schedule,student_parent,yes
Can you tell me pwede ko bang makita ang class schedule ko??,schedule,student_parent,yes
"Paki-explain, kailan ang session ko??",schedule,student_parent,yes
Gusto kong malaman: what is my schedule?,schedule,student_parent,yes
"Pwede bang sabihin, can i see my class schedule??",schedule,student_parent,yes
"Hi, nasaan ang schedule ko??",schedule,student_parent,yes
"Hello, pwede ko bang makita ang class schedule ko??",schedule,student_parent,yes
"Pwede po bang malaman, what is my schedule?",schedule,student_parent,yes
"Pa-help naman, can i see my class schedule?",schedule,student_parent,yes
Where can I see my child's schedule?,parent_schedule,student_parent,yes
What is my child's schedule?,parent_schedule,student_parent,yes
Nasaan ang schedule ng anak ko?,parent_schedule,student_parent,yes
When is my child's next session?,parent_schedule,student_parent,yes
Can I check my child's class schedule?,parent_schedule,student_parent,yes
Kailan ang tutorial ng anak ko?,parent_schedule,student_parent,yes
Can you help me with this: where can i see my child's schedule?,parent_schedule,student_parent,yes
Quick question: what is my child's schedule?,parent_schedule,student_parent,yes
"Just checking, nasaan ang schedule ng anak ko?",parent_schedule,student_parent,yes
Please tell me when is my child's next session??,parent_schedule,student_parent,yes
Can you tell me can i check my child's class schedule??,parent_schedule,student_parent,yes
"Paki-explain, kailan ang tutorial ng anak ko??",parent_schedule,student_parent,yes
Gusto kong malaman: where can i see my child's schedule?,parent_schedule,student_parent,yes
"Pwede bang sabihin, what is my child's schedule??",parent_schedule,student_parent,yes
"Hi, nasaan ang schedule ng anak ko??",parent_schedule,student_parent,yes
"Hello, can i check my child's class schedule??",parent_schedule,student_parent,yes
"Pwede po bang malaman, where can i see my child's schedule?",parent_schedule,student_parent,yes
"Pa-help naman, what is my child's schedule?",parent_schedule,student_parent,yes
What is my enrollment status?,enrollment_status,student_parent,yes
Am I currently enrolled?,enrollment_status,student_parent,yes
Ano ang enrollment status ko?,enrollment_status,student_parent,yes
Can I check if my enrollment is active?,enrollment_status,student_parent,yes
Active ba ang enrollment ko?,enrollment_status,student_parent,yes
Pwede ko bang makita ang status ng enrollment ko?,enrollment_status,student_parent,yes
Can you help me with this: what is my enrollment status?,enrollment_status,student_parent,yes
Quick question: am i currently enrolled?,enrollment_status,student_parent,yes
"Just checking, ano ang enrollment status ko?",enrollment_status,student_parent,yes
Please tell me can i check if my enrollment is active??,enrollment_status,student_parent,yes
Can you tell me active ba ang enrollment ko??,enrollment_status,student_parent,yes
"Paki-explain, pwede ko bang makita ang status ng enrollment ko??",enrollment_status,student_parent,yes
Gusto kong malaman: what is my enrollment status?,enrollment_status,student_parent,yes
"Pwede bang sabihin, am i currently enrolled??",enrollment_status,student_parent,yes
"Hi, ano ang enrollment status ko??",enrollment_status,student_parent,yes
"Hello, active ba ang enrollment ko??",enrollment_status,student_parent,yes
"Pwede po bang malaman, what is my enrollment status?",enrollment_status,student_parent,yes
"Pa-help naman, am i currently enrolled?",enrollment_status,student_parent,yes
Is my child enrolled?,parent_enrollment,student_parent,yes
Can I check my child's enrollment?,parent_enrollment,student_parent,yes
Enrolled ba ang anak ko?,parent_enrollment,student_parent,yes
What is my child's enrollment status?,parent_enrollment,student_parent,yes
Active ba ang enrollment ng anak ko?,parent_enrollment,student_parent,yes
Pwede ko bang i-check ang enrollment ng anak ko?,parent_enrollment,student_parent,yes
Can you help me with this: is my child enrolled?,parent_enrollment,student_parent,yes
Quick question: can i check my child's enrollment?,parent_enrollment,student_parent,yes
"Just checking, enrolled ba ang anak ko?",parent_enrollment,student_parent,yes
Please tell me what is my child's enrollment status??,parent_enrollment,student_parent,yes
Can you tell me active ba ang enrollment ng anak ko??,parent_enrollment,student_parent,yes
"Paki-explain, pwede ko bang i-check ang enrollment ng anak ko??",parent_enrollment,student_parent,yes
Gusto kong malaman: is my child enrolled?,parent_enrollment,student_parent,yes
"Pwede bang sabihin, can i check my child's enrollment??",parent_enrollment,student_parent,yes
"Hi, enrolled ba ang anak ko??",parent_enrollment,student_parent,yes
"Hello, active ba ang enrollment ng anak ko??",parent_enrollment,student_parent,yes
"Pwede po bang malaman, is my child enrolled?",parent_enrollment,student_parent,yes
"Pa-help naman, can i check my child's enrollment?",parent_enrollment,student_parent,yes
What is my payment status?,payment_status,student_parent,yes
Can I check my payment status?,payment_status,student_parent,yes
Ano ang payment status ko?,payment_status,student_parent,yes
Has my payment been confirmed?,payment_status,student_parent,yes
Pwede ko bang makita kung paid na ako?,payment_status,student_parent,yes
Kumusta ang payment ko?,payment_status,student_parent,yes
Can you help me with this: what is my payment status?,payment_status,student_parent,yes
Quick question: can i check my payment status?,payment_status,student_parent,yes
"Just checking, ano ang payment status ko?",payment_status,student_parent,yes
Please tell me has my payment been confirmed??,payment_status,student_parent,yes
Can you tell me pwede ko bang makita kung paid na ako??,payment_status,student_parent,yes
"Paki-explain, kumusta ang payment ko??",payment_status,student_parent,yes
Gusto kong malaman: what is my payment status?,payment_status,student_parent,yes
"Pwede bang sabihin, can i check my payment status??",payment_status,student_parent,yes
"Hi, ano ang payment status ko??",payment_status,student_parent,yes
"Hello, pwede ko bang makita kung paid na ako??",payment_status,student_parent,yes
"Pwede po bang malaman, what is my payment status?",payment_status,student_parent,yes
"Pa-help naman, can i check my payment status?",payment_status,student_parent,yes
Can I check my child's payment status?,parent_payment,student_parent,yes
What is my child's payment status?,parent_payment,student_parent,yes
Ano ang payment status ng anak ko?,parent_payment,student_parent,yes
Has my child's payment been confirmed?,parent_payment,student_parent,yes
Paid na ba ang enrollment ng anak ko?,parent_payment,student_parent,yes
Pwede ko bang i-check ang payment ng anak ko?,parent_payment,student_parent,yes
Can you help me with this: can i check my child's payment status?,parent_payment,student_parent,yes
Quick question: what is my child's payment status?,parent_payment,student_parent,yes
"Just checking, ano ang payment status ng anak ko?",parent_payment,student_parent,yes
Please tell me has my child's payment been confirmed??,parent_payment,student_parent,yes
Can you tell me paid na ba ang enrollment ng anak ko??,parent_payment,student_parent,yes
"Paki-explain, pwede ko bang i-check ang payment ng anak ko??",parent_payment,student_parent,yes
Gusto kong malaman: can i check my child's payment status?,parent_payment,student_parent,yes
"Pwede bang sabihin, what is my child's payment status??",parent_payment,student_parent,yes
"Hi, ano ang payment status ng anak ko??",parent_payment,student_parent,yes
"Hello, paid na ba ang enrollment ng anak ko??",parent_payment,student_parent,yes
"Pwede po bang malaman, can i check my child's payment status?",parent_payment,student_parent,yes
"Pa-help naman, what is my child's payment status?",parent_payment,student_parent,yes
Where can I find my learning materials?,materials,student_parent,yes
Where are my tutorial materials?,materials,student_parent,yes
Nasaan ang learning materials ko?,materials,student_parent,yes
Can I access my study materials?,materials,student_parent,yes
Saan ko makikita ang materials ko?,materials,student_parent,yes
Where can I view the materials for my lessons?,materials,student_parent,yes
Can you help me with this: where can i find my learning materials?,materials,student_parent,yes
Quick question: where are my tutorial materials?,materials,student_parent,yes
"Just checking, nasaan ang learning materials ko?",materials,student_parent,yes
Please tell me can i access my study materials??,materials,student_parent,yes
Can you tell me saan ko makikita ang materials ko??,materials,student_parent,yes
"Paki-explain, where can i view the materials for my lessons??",materials,student_parent,yes
Gusto kong malaman: where can i find my learning materials?,materials,student_parent,yes
"Pwede bang sabihin, where are my tutorial materials??",materials,student_parent,yes
"Hi, nasaan ang learning materials ko??",materials,student_parent,yes
"Hello, saan ko makikita ang materials ko??",materials,student_parent,yes
"Pwede po bang malaman, where can i find my learning materials?",materials,student_parent,yes
Where are the files my tutor uploaded?,materials,student_parent,yes
Can I download the learning materials?,soft_copy,student_parent,yes
Are the learning materials available as soft copies?,soft_copy,student_parent,yes
Pwede bang i-download ang materials?,soft_copy,student_parent,yes
May soft copy ba ng learning materials?,soft_copy,student_parent,yes
Can I get digital copies of the materials?,soft_copy,student_parent,yes
Puwede ko bang ma-access ang files?,soft_copy,student_parent,yes
Can you help me with this: can i download the learning materials?,soft_copy,student_parent,yes
Quick question: are the learning materials available as soft copies?,soft_copy,student_parent,yes
"Just checking, pwede bang i-download ang materials?",soft_copy,student_parent,yes
Please tell me may soft copy ba ng learning materials??,soft_copy,student_parent,yes
Can you tell me can i get digital copies of the materials??,soft_copy,student_parent,yes
"Paki-explain, puwede ko bang ma-access ang files??",soft_copy,student_parent,yes
Gusto kong malaman: can i download the learning materials?,soft_copy,student_parent,yes
"Pwede bang sabihin, are the learning materials available as soft copies??",soft_copy,student_parent,yes
"Hi, pwede bang i-download ang materials??",soft_copy,student_parent,yes
"Hello, can i get digital copies of the materials??",soft_copy,student_parent,yes
"Pwede po bang malaman, can i download the learning materials?",soft_copy,student_parent,yes
"Pa-help naman, are the learning materials available as soft copies?",soft_copy,student_parent,yes
Where are the files uploaded by my tutor?,tutor_materials,student_parent,yes
Where can I find files from my tutor?,tutor_materials,student_parent,yes
Nasaan ang files na in-upload ng tutor?,tutor_materials,student_parent,yes
Can I see the materials my tutor uploaded?,tutor_materials,student_parent,yes
Saan ko makikita ang tutor-uploaded files?,tutor_materials,student_parent,yes
May files ba na binigay ng tutor?,tutor_materials,student_parent,yes
Can you help me with this: where are the files uploaded by my tutor?,tutor_materials,student_parent,yes
Quick question: where can i find files from my tutor?,tutor_materials,student_parent,yes
"Just checking, nasaan ang files na in-upload ng tutor?",tutor_materials,student_parent,yes
Please tell me can i see the materials my tutor uploaded??,tutor_materials,student_parent,yes
Can you tell me saan ko makikita ang tutor-uploaded files??,tutor_materials,student_parent,yes
"Paki-explain, may files ba na binigay ng tutor??",tutor_materials,student_parent,yes
Gusto kong malaman: where are the files uploaded by my tutor?,tutor_materials,student_parent,yes
"Pwede bang sabihin, where can i find files from my tutor??",tutor_materials,student_parent,yes
"Hi, nasaan ang files na in-upload ng tutor??",tutor_materials,student_parent,yes
"Hello, saan ko makikita ang tutor-uploaded files??",tutor_materials,student_parent,yes
"Pwede po bang malaman, where are the files uploaded by my tutor?",tutor_materials,student_parent,yes
Where can I find my study materials?,tutor_materials,student_parent,yes
How can I contact my tutor?,contact_tutor,student_parent,yes
Can I message my tutor?,contact_tutor,student_parent,yes
Paano ko mako-contact ang tutor ko?,contact_tutor,student_parent,yes
Is there a way to contact my tutor?,contact_tutor,student_parent,yes
Pwede ko bang kausapin ang tutor ko?,contact_tutor,student_parent,yes
Where can I contact my tutor?,contact_tutor,student_parent,yes
Can you help me with this: how can i contact my tutor?,contact_tutor,student_parent,yes
Quick question: can i message my tutor?,contact_tutor,student_parent,yes
"Just checking, paano ko mako-contact ang tutor ko?",contact_tutor,student_parent,yes
Please tell me is there a way to contact my tutor??,contact_tutor,student_parent,yes
Can you tell me pwede ko bang kausapin ang tutor ko??,contact_tutor,student_parent,yes
"Paki-explain, where can i contact my tutor??",contact_tutor,student_parent,yes
Gusto kong malaman: how can i contact my tutor?,contact_tutor,student_parent,yes
"Pwede bang sabihin, can i message my tutor??",contact_tutor,student_parent,yes
"Hi, paano ko mako-contact ang tutor ko??",contact_tutor,student_parent,yes
"Hello, pwede ko bang kausapin ang tutor ko??",contact_tutor,student_parent,yes
"Pwede po bang malaman, how can i contact my tutor?",contact_tutor,student_parent,yes
"Pa-help naman, can i message my tutor?",contact_tutor,student_parent,yes
Can I contact my child's tutor?,parent_contact,student_parent,yes
How can I reach my child's tutor?,parent_contact,student_parent,yes
Paano ko mako-contact ang tutor ng anak ko?,parent_contact,student_parent,yes
Can I message my child's tutor?,parent_contact,student_parent,yes
Pwede ko bang kausapin ang tutor ng anak ko?,parent_contact,student_parent,yes
Where can I contact my child's tutor?,parent_contact,student_parent,yes
Can you help me with this: can i contact my child's tutor?,parent_contact,student_parent,yes
Quick question: how can i reach my child's tutor?,parent_contact,student_parent,yes
"Just checking, paano ko mako-contact ang tutor ng anak ko?",parent_contact,student_parent,yes
Please tell me can i message my child's tutor??,parent_contact,student_parent,yes
Can you tell me pwede ko bang kausapin ang tutor ng anak ko??,parent_contact,student_parent,yes
"Paki-explain, where can i contact my child's tutor??",parent_contact,student_parent,yes
Gusto kong malaman: can i contact my child's tutor?,parent_contact,student_parent,yes
"Pwede bang sabihin, how can i reach my child's tutor??",parent_contact,student_parent,yes
"Hi, paano ko mako-contact ang tutor ng anak ko??",parent_contact,student_parent,yes
"Hello, pwede ko bang kausapin ang tutor ng anak ko??",parent_contact,student_parent,yes
"Pwede po bang malaman, can i contact my child's tutor?",parent_contact,student_parent,yes
"Pa-help naman, how can i reach my child's tutor?",parent_contact,student_parent,yes
Can I contact Carlo's tutor?,parent_contact,student_parent,yes
How do I reach Mia's tutor?,parent_contact,student_parent,yes
What is Diana's tutor's contact number?,parent_contact,student_parent,yes
Can I message my son Josh's tutor?,parent_contact,student_parent,yes
How can I contact my daughter Ella's tutor?,parent_contact,student_parent,yes
Paano ko makokontak ang tutor ni Carlo?,parent_contact,student_parent,yes
Pwede ko bang kausapin ang tutor ni Mia?,parent_contact,student_parent,yes
What is the email of Josh's tutor?,parent_contact,student_parent,yes
Where can I find Ella's tutor's phone number?,parent_contact,student_parent,yes
Can you give me Diana's tutor's contact details?,parent_contact,student_parent,yes
Why do I need an OTP when logging in?,login_otp,student_parent,yes
What is the login OTP for?,login_otp,student_parent,yes
Bakit kailangan ng OTP sa login?,login_otp,student_parent,yes
Para saan ang OTP kapag nagla-login?,login_otp,student_parent,yes
Why does the system ask for an OTP?,login_otp,student_parent,yes
Ano ang purpose ng login OTP?,login_otp,student_parent,yes
Can you help me with this: why do i need an otp when logging in?,login_otp,student_parent,yes
Quick question: what is the login otp for?,login_otp,student_parent,yes
"Just checking, bakit kailangan ng otp sa login?",login_otp,student_parent,yes
Please tell me para saan ang otp kapag nagla-login??,login_otp,student_parent,yes
Can you tell me why does the system ask for an otp??,login_otp,student_parent,yes
"Paki-explain, ano ang purpose ng login otp??",login_otp,student_parent,yes
Gusto kong malaman: why do i need an otp when logging in?,login_otp,student_parent,yes
"Pwede bang sabihin, what is the login otp for??",login_otp,student_parent,yes
"Hi, bakit kailangan ng otp sa login??",login_otp,student_parent,yes
"Hello, why does the system ask for an otp??",login_otp,student_parent,yes
"Pwede po bang malaman, why do i need an otp when logging in?",login_otp,student_parent,yes
"Pa-help naman, what is the login otp for?",login_otp,student_parent,yes
I did not receive my login OTP.,otp_not_received,student_parent,yes
What if my OTP did not arrive?,otp_not_received,student_parent,yes
Hindi ko natanggap ang OTP ko.,otp_not_received,student_parent,yes
"Walang dumating na login OTP, ano gagawin ko?",otp_not_received,student_parent,yes
My login code hasn't arrived.,otp_not_received,student_parent,yes
Bakit wala akong natatanggap na OTP?,otp_not_received,student_parent,yes
Can you help me with this: i did not receive my login otp.,otp_not_received,student_parent,yes
Quick question: what if my otp did not arrive?,otp_not_received,student_parent,yes
"Just checking, hindi ko natanggap ang otp ko.",otp_not_received,student_parent,yes
"Please tell me walang dumating na login otp, ano gagawin ko??",otp_not_received,student_parent,yes
Can you tell me my login code hasn't arrived.?,otp_not_received,student_parent,yes
"Paki-explain, bakit wala akong natatanggap na otp??",otp_not_received,student_parent,yes
Gusto kong malaman: i did not receive my login otp.,otp_not_received,student_parent,yes
"Pwede bang sabihin, what if my otp did not arrive??",otp_not_received,student_parent,yes
"Hi, hindi ko natanggap ang otp ko.?",otp_not_received,student_parent,yes
"Hello, my login code hasn't arrived.?",otp_not_received,student_parent,yes
"Pwede po bang malaman, i did not receive my login otp.",otp_not_received,student_parent,yes
"Pa-help naman, what if my otp did not arrive?",otp_not_received,student_parent,yes
How do I change my password?,change_password,student_parent,yes
Can I change my password while logged in?,change_password,student_parent,yes
Paano magpalit ng password?,change_password,student_parent,yes
Pwede ko bang palitan ang password ko habang logged in?,change_password,student_parent,yes
Where can I change my account password?,change_password,student_parent,yes
How can I update my password?,change_password,student_parent,yes
Can you help me with this: how do i change my password?,change_password,student_parent,yes
Quick question: can i change my password while logged in?,change_password,student_parent,yes
"Just checking, paano magpalit ng password?",change_password,student_parent,yes
Please tell me pwede ko bang palitan ang password ko habang logged in??,change_password,student_parent,yes
Can you tell me where can i change my account password??,change_password,student_parent,yes
"Paki-explain, how can i update my password??",change_password,student_parent,yes
Gusto kong malaman: how do i change my password?,change_password,student_parent,yes
"Pwede bang sabihin, can i change my password while logged in??",change_password,student_parent,yes
"Hi, paano magpalit ng password??",change_password,student_parent,yes
"Hello, where can i change my account password??",change_password,student_parent,yes
"Pwede po bang malaman, how do i change my password?",change_password,student_parent,yes
"Pa-help naman, can i change my password while logged in?",change_password,student_parent,yes
My payment was rejected. Can I resubmit it?,rejected_payment,student_parent,yes
What should I do if my payment was rejected?,rejected_payment,student_parent,yes
"Rejected ang payment ko, ano ang gagawin ko?",rejected_payment,student_parent,yes
Can I try submitting a rejected payment again?,rejected_payment,student_parent,yes
"Na-reject ang payment ko, pwede bang i-resubmit?",rejected_payment,student_parent,yes
How do I handle a rejected payment?,rejected_payment,student_parent,yes
Can you help me with this: my payment was rejected. can i resubmit it?,rejected_payment,student_parent,yes
Quick question: what should i do if my payment was rejected?,rejected_payment,student_parent,yes
"Just checking, rejected ang payment ko, ano ang gagawin ko?",rejected_payment,student_parent,yes
Please tell me can i try submitting a rejected payment again??,rejected_payment,student_parent,yes
"Can you tell me na-reject ang payment ko, pwede bang i-resubmit??",rejected_payment,student_parent,yes
"Paki-explain, how do i handle a rejected payment??",rejected_payment,student_parent,yes
Gusto kong malaman: my payment was rejected. can i resubmit it?,rejected_payment,student_parent,yes
"Pwede bang sabihin, what should i do if my payment was rejected??",rejected_payment,student_parent,yes
"Hi, rejected ang payment ko, ano ang gagawin ko??",rejected_payment,student_parent,yes
"Hello, na-reject ang payment ko, pwede bang i-resubmit??",rejected_payment,student_parent,yes
"Pwede po bang malaman, my payment was rejected. can i resubmit it?",rejected_payment,student_parent,yes
"Pa-help naman, what should i do if my payment was rejected?",rejected_payment,student_parent,yes
How do I resubmit my payment?,resubmit_payment,student_parent,yes
Where can I resubmit a rejected payment?,resubmit_payment,student_parent,yes
Paano i-resubmit ang payment?,resubmit_payment,student_parent,yes
Saan ko puwedeng i-submit ulit ang rejected payment?,resubmit_payment,student_parent,yes
Can I submit my payment again?,resubmit_payment,student_parent,yes
How do I send a rejected payment again?,resubmit_payment,student_parent,yes
Can you help me with this: how do i resubmit my payment?,resubmit_payment,student_parent,yes
Quick question: where can i resubmit a rejected payment?,resubmit_payment,student_parent,yes
"Just checking, paano i-resubmit ang payment?",resubmit_payment,student_parent,yes
Please tell me saan ko puwedeng i-submit ulit ang rejected payment??,resubmit_payment,student_parent,yes
Can you tell me can i submit my payment again??,resubmit_payment,student_parent,yes
"Paki-explain, how do i send a rejected payment again??",resubmit_payment,student_parent,yes
Gusto kong malaman: how do i resubmit my payment?,resubmit_payment,student_parent,yes
"Pwede bang sabihin, where can i resubmit a rejected payment??",resubmit_payment,student_parent,yes
"Hi, paano i-resubmit ang payment??",resubmit_payment,student_parent,yes
"Hello, can i submit my payment again??",resubmit_payment,student_parent,yes
"Pwede po bang malaman, how do i resubmit my payment?",resubmit_payment,student_parent,yes
"Pa-help naman, where can i resubmit a rejected payment?",resubmit_payment,student_parent,yes
Where can I find my invoices?,invoices,student_parent,yes
Where are my invoices stored?,invoices,student_parent,yes
Nasaan ang invoices ko?,invoices,student_parent,yes
Saan ko makikita ang payment invoices?,invoices,student_parent,yes
Can I view my invoices?,invoices,student_parent,yes
Where can I access my billing invoices?,invoices,student_parent,yes
Can you help me with this: where can i find my invoices?,invoices,student_parent,yes
Quick question: where are my invoices stored?,invoices,student_parent,yes
"Just checking, nasaan ang invoices ko?",invoices,student_parent,yes
Please tell me saan ko makikita ang payment invoices??,invoices,student_parent,yes
Can you tell me can i view my invoices??,invoices,student_parent,yes
"Paki-explain, where can i access my billing invoices??",invoices,student_parent,yes
Gusto kong malaman: where can i find my invoices?,invoices,student_parent,yes
"Pwede bang sabihin, where are my invoices stored??",invoices,student_parent,yes
"Hi, nasaan ang invoices ko??",invoices,student_parent,yes
"Hello, can i view my invoices??",invoices,student_parent,yes
"Pwede po bang malaman, where can i find my invoices?",invoices,student_parent,yes
"Pa-help naman, where are my invoices stored?",invoices,student_parent,yes
Why was I automatically logged out?,auto_logout,student_parent,yes
Why does the system log me out?,auto_logout,student_parent,yes
Bakit ako automatic na na-log out?,auto_logout,student_parent,yes
Why did my session end automatically?,auto_logout,student_parent,yes
Bakit nag-auto logout ang account ko?,auto_logout,student_parent,yes
What causes automatic logout?,auto_logout,student_parent,yes
Can you help me with this: why was i automatically logged out?,auto_logout,student_parent,yes
Quick question: why does the system log me out?,auto_logout,student_parent,yes
"Just checking, bakit ako automatic na na-log out?",auto_logout,student_parent,yes
Please tell me why did my session end automatically??,auto_logout,student_parent,yes
Can you tell me bakit nag-auto logout ang account ko??,auto_logout,student_parent,yes
"Paki-explain, what causes automatic logout??",auto_logout,student_parent,yes
Gusto kong malaman: why was i automatically logged out?,auto_logout,student_parent,yes
"Pwede bang sabihin, why does the system log me out??",auto_logout,student_parent,yes
"Hi, bakit ako automatic na na-log out??",auto_logout,student_parent,yes
"Hello, bakit nag-auto logout ang account ko??",auto_logout,student_parent,yes
"Pwede po bang malaman, why was i automatically logged out?",auto_logout,student_parent,yes
"Pa-help naman, why does the system log me out?",auto_logout,student_parent,yes
How can I raise a concern?,raise_concern,student_parent,yes
Where can I submit a concern?,raise_concern,student_parent,yes
Paano ako mag-raise ng concern?,raise_concern,student_parent,yes
Saan ako puwedeng magsubmit ng concern?,raise_concern,student_parent,yes
How do I report an issue?,raise_concern,student_parent,yes
May Raise a Concern feature ba?,raise_concern,student_parent,yes
Can you help me with this: how can i raise a concern?,raise_concern,student_parent,yes
Quick question: where can i submit a concern?,raise_concern,student_parent,yes
"Just checking, paano ako mag-raise ng concern?",raise_concern,student_parent,yes
Please tell me saan ako puwedeng magsubmit ng concern??,raise_concern,student_parent,yes
Can you tell me how do i report an issue??,raise_concern,student_parent,yes
"Paki-explain, may raise a concern feature ba??",raise_concern,student_parent,yes
Gusto kong malaman: how can i raise a concern?,raise_concern,student_parent,yes
